_id,experience,location,salary,search_type,skills,title,url
643b9a02d01321d35da3b004,3-6 Yrs,"[""Kolkata"",""Mumbai"",""New Delhi"",""Hyderabad/Secunderabad"",""Pune"",""Chennai"",""Bangalore/Bengaluru""]",Not disclosed,Socket Programming,"[""core"",""development"",""programming"",""program"",""dbms"",""packaging"",""sockets"",""java""]",Java Full Stack Developer,https://www.naukri.com/job-listings-java-full-stack-developer-atos-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-6-years-070423500098
643b9a05d01321d35da3b005,5-8 Yrs,"[""Mumbai"",""Hyderabad/Secunderabad"",""Pune"",""Chennai"",""Bangalore/Bengaluru""]",Not disclosed,EJB,"[""Java EJB"",""web technologies"",""angular"",""restful web"",""jsf"",""web services"",""java"",""ejb""]",Java EJB Professional,https://www.naukri.com/job-listings-java-ejb-professional-cliqhr-recruitment-services-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-8-years-310123922629
643b9a05d01321d35da3b006,5-8 Yrs,"[""Mumbai"",""Hyderabad/Secunderabad"",""Pune"",""Chennai""]",Not disclosed,EJB,"[""Java"",""angular"",""jsf"",""ejb"",""jax-rs""]",Java / EJB  Professional,https://www.naukri.com/job-listings-java-ejb-professional-cliqhr-mumbai-hyderabad-secunderabad-pune-chennai-5-to-8-years-300323904061
643b9a05d01321d35da3b007,7-12 Yrs,"[""Kolkata"",""Mumbai"",""New Delhi"",""Hyderabad/Secunderabad"",""Pune"",""Chennai"",""Bangalore/Bengaluru""]",Not disclosed,EJB,"[""ejb"",""jsp"",""microsoft"",""ms data management"",""mis"",""talent acquisition"",""reporting"",""recruitment""]","Web technologies - Java,EJB,Struts,JSP,Servlets",https://www.naukri.com/job-listings-web-technologies-java-ejb-struts-jsp-servlets-atreya-technosoft-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-7-to-12-years-300817500105
643b9a05d01321d35da3b008,4-5 Yrs,"[""Delhi""]",Not disclosed,EJB,"[""team leading"",""management"",""jsp"",""servlets"",""outsourcing"",""j2ee"",""leadership"",""team""]","Team Leader - J2EE, EJB, JSP, SERVLET",https://www.naukri.com/job-listings-team-leader-j2ee-ejb-jsp-servlet-process-tech-management-consultants-pvt-ltd-delhi-4-to-5-years-100718501087
643b9a05d01321d35da3b009,3-5 Yrs,"[""Bengaluru""]",Not disclosed,EJB,"[""java"",""ejb"",""development"",""Java EJB Developer""]",Java EJB Developer,https://www.naukri.com/job-listings-java-ejb-developer-metafore-info-systems-pvt-ltd-bengaluru-bangalore-3-to-5-years-091118500522
643b9a05d01321d35da3b00a,3-7 Yrs,"[""Bengaluru""]",Not disclosed,EJB,"[""jsp"",""java"",""jpa"",""spring mvc"",""hibernate"",""jstl"",""javascript"",""websphere""]",Java EJB Developer,https://www.naukri.com/job-listings-java-ejb-developer-diverse-lynx-bengaluru-bangalore-3-to-7-years-050221501017
643b9a05d01321d35da3b00b,3-5 Yrs,"[""Gurgaon""]",Not disclosed,EJB,"[""c"",""integration"",""c++"",""php"",""ejb"",""spring"",""mysql"",""configuration""]",Java (Spring Hibernate EJB).,https://www.naukri.com/job-listings-java-spring-hibernate-ejb-squircle-it-consulting-services-pvt-ltd-gurgaon-3-to-5-years-010717501572
643b9a05d01321d35da3b00c,2-5 Yrs,"[""Pune""]",Not disclosed,EJB,"[""c"",""integration"",""c++"",""php"",""ejb"",""mysql"",""configuration"",""technical""]","Java Developer with EJB, Webservices",https://www.naukri.com/job-listings-java-developer-with-ejb-webservices-squircle-it-consulting-services-pvt-ltd-pune-2-to-5-years-010717501510
643b9a05d01321d35da3b00d,10-15 Yrs,"[""Thane""]",Not disclosed,EJB,"[""jsf"",""jsp"",""product design"",""xml"",""troubleshooting"",""j2ee"",""struts"",""system architecture""]",Product Architect,https://www.naukri.com/job-listings-product-architect-financial-software-systems-pvt-ltd-thane-10-to-15-years-160621500671
